,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,DURATION
0,2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,0 days 00:06:00
1,2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,Missing_val,0 days 00:12:00
2,2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,0 days 00:13:00
3,2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,0 days 00:14:00
4,2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,0 days 01:07:00
5,2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,0 days 00:04:00
6,2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,0 days 00:05:00
7,2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,0 days 00:06:00
8,2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,0 days 00:20:00
9,2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,0 days 00:27:00
10,2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,0 days 00:43:00
11,2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,0 days 00:35:00
12,2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,0 days 00:20:00
13,2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,0 days 00:26:00
14,2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,0 days 00:07:00
15,2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,0 days 00:14:00
16,2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,0 days 00:13:00
17,2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,0 days 00:16:00
18,2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,0 days 00:16:00
19,2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,0 days 00:14:00
20,2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,0 days 00:15:00
21,2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,0 days 00:12:00
22,2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,0 days 00:58:00
23,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Downtown,Gulfton,11.2,Meeting,0 days 00:19:19.571428571
24,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Gulfton,Downtown,11.8,Meeting,0 days 00:19:19.571428571
25,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Houston,Houston,21.9,Customer Visit,0 days 00:19:19.571428571
26,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,0 days 00:19:19.571428571
27,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Morrisville,Cary,8.0,Errand/Supplies,0 days 00:19:19.571428571
28,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Durham,10.4,Meal/Entertain,0 days 00:19:19.571428571
29,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Durham,Cary,10.4,Meal/Entertain,0 days 00:19:19.571428571
30,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,4.8,Meal/Entertain,0 days 00:19:19.571428571
31,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,0 days 00:19:19.571428571
32,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Lake Wellingborough,7.2,Missing_val,0 days 00:19:19.571428571
33,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,0 days 00:19:19.571428571
34,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Raleigh,17.1,Meeting,0 days 00:19:19.571428571
35,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Fayetteville Street,Umstead,15.1,Meeting,0 days 00:19:19.571428571
36,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Raleigh,Cary,40.2,Customer Visit,0 days 00:19:19.571428571
37,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,1.6,Errand/Supplies,0 days 00:19:19.571428571
38,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,2.4,Meal/Entertain,0 days 00:19:19.571428571
39,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,1.0,Meal/Entertain,0 days 00:19:19.571428571
40,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,0 days 00:19:19.571428571
41,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,0 days 00:19:19.571428571
42,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,0 days 00:19:19.571428571
43,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,1.4,Errand/Supplies,0 days 00:19:19.571428571
44,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,0.5,Errand/Supplies,0 days 00:19:19.571428571
45,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Cary,1.8,Meeting,0 days 00:19:19.571428571
46,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Raleigh,18.7,Customer Visit,0 days 00:19:19.571428571
47,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,0 days 00:19:19.571428571
48,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Raleigh,Raleigh,2.7,Customer Visit,0 days 00:19:19.571428571
49,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Raleigh,Cary,12.9,Customer Visit,0 days 00:19:19.571428571
50,2025-01-01 00:00:00,2025-01-01 01:00:00,Business,Cary,Raleigh,19.0,Temporary Site,0 days 00:19:19.571428571
